year_quarter,oem,vehicle_model,battery_supplier,form_factor,chemistry,battery_capacity_kwh,ev_production_volume_units,total_battery_demand_gwh
2025-Q2,Tesla,Model Y (Long Range / Performance),LGES,Pouch,NCMA,78.0,254268,19.8329
2025-Q2,Tesla,Model Y (US Cylindrical),PANASONIC,Cylindrical,NCM2170,82.0,111892,9.1751
2025-Q2,Tesla,Model 3 (Standard),CATL,Prismatic,LFP,60.0,203290,12.1974
2025-Q2,Tesla,Model 3 (Long Range),PANASONIC,Cylindrical,NCM2170,82.0,224196,18.3841
2025-Q2,Tesla,Model 3 (Long Range EU),LGES,Cylindrical,NCMA,78.0,103569,8.0784
2025-Q2,General Motors,Chevrolet Bolt EV,LGES,Pouch,NCM622,65.0,82954,5.392
2025-Q2,General Motors,Chevrolet Blazer EV,LGES,Pouch,NCMA,102.0,71651,7.3084
2025-Q2,General Motors,Cadillac Lyriq,LGES,Pouch,NCMA,102.0,71559,7.299
2025-Q2,Ford,Mustang Mach-E (LFP),CATL,Prismatic,LFP,70.0,22252,1.5576
2025-Q2,Ford,Mustang Mach-E (NCM),LGES,Pouch,NCM811,91.0,41115,3.7415
2025-Q2,Ford,F-150 Lightning,SK_ON,Pouch,NCM9,131.0,65500,8.5805
2025-Q2,Hyundai,IONIQ 5,SK_ON,Pouch,NCM811,77.4,71733,5.5521
2025-Q2,Hyundai,IONIQ 5 (LGES),LGES,Pouch,NCM811,77.4,26610,2.0596
2025-Q2,Hyundai,IONIQ 6,LGES,Pouch,NCM811,77.4,102164,7.9075
2025-Q2,Kia,EV6,SK_ON,Pouch,NCM811,77.4,88021,6.8128
2025-Q2,Kia,EV9,SK_ON,Pouch,NCM811,99.8,87256,8.7081
2025-Q3,Tesla,Model Y (Standard Range),CATL,Prismatic,LFP,60.0,221316,13.279
2025-Q3,Tesla,Model Y (Long Range / Performance),LGES,Pouch,NCMA,78.0,357719,27.9021
2025-Q3,Tesla,Model Y (US Cylindrical),PANASONIC,Cylindrical,NCM2170,82.0,144626,11.8593
2025-Q3,Tesla,Model 3 (Standard),CATL,Prismatic,LFP,60.0,313162,18.7897
2025-Q3,Tesla,Model 3 (Long Range),PANASONIC,Cylindrical,NCM2170,82.0,314646,25.801
2025-Q3,Tesla,Model 3 (Long Range EU),LGES,Cylindrical,NCMA,78.0,156124,12.1777
2025-Q3,General Motors,Chevrolet Bolt EV,LGES,Pouch,NCM622,65.0,94603,6.1492
2025-Q3,General Motors,Chevrolet Blazer EV,LGES,Pouch,NCMA,102.0,101694,10.3728
2025-Q3,General Motors,Cadillac Lyriq,LGES,Pouch,NCMA,102.0,107948,11.0107
2025-Q3,Ford,Mustang Mach-E (LFP),CATL,Prismatic,LFP,70.0,27688,1.9382
2025-Q3,Ford,Mustang Mach-E (NCM),LGES,Pouch,NCM811,91.0,52240,4.7538
2025-Q3,Ford,F-150 Lightning,SK_ON,Pouch,NCM9,131.0,83915,10.9929
2025-Q3,Hyundai,IONIQ 5,SK_ON,Pouch,NCM811,77.4,78570,6.0813
2025-Q3,Hyundai,IONIQ 5 (LGES),LGES,Pouch,NCM811,77.4,38966,3.016
2025-Q3,Hyundai,IONIQ 6,LGES,Pouch,NCM811,77.4,135806,10.5114
2025-Q3,Kia,EV6,SK_ON,Pouch,NCM811,77.4,132697,10.2707
2025-Q3,Kia,EV9,SK_ON,Pouch,NCM811,99.8,128044,12.7788
2025-Q4,Tesla,Model Y (Standard Range),CATL,Prismatic,LFP,60.0,242871,14.5723
2025-Q4,Tesla,Model Y (Long Range / Performance),LGES,Pouch,NCMA,78.0,414713,32.3476
2025-Q4,Tesla,Model Y (US Cylindrical),PANASONIC,Cylindrical,NCM2170,82.0,142054,11.6484
2025-Q4,Tesla,Model 3 (Standard),CATL,Prismatic,LFP,60.0,302007,18.1204
2025-Q4,Tesla,Model 3 (Long Range),PANASONIC,Cylindrical,NCM2170,82.0,280720,23.019
2025-Q4,Tesla,Model 3 (Long Range EU),LGES,Cylindrical,NCMA,78.0,151502,11.8172
2025-Q4,General Motors,Chevrolet Bolt EV,LGES,Pouch,NCM622,65.0,106016,6.891
2025-Q4,General Motors,Chevrolet Blazer EV,LGES,Pouch,NCMA,102.0,111043,11.3264
2025-Q4,General Motors,Cadillac Lyriq,LGES,Pouch,NCMA,102.0,102315,10.4361
2025-Q4,Ford,Mustang Mach-E (LFP),CATL,Prismatic,LFP,70.0,32331,2.2632
2025-Q4,Ford,Mustang Mach-E (NCM),LGES,Pouch,NCM811,91.0,61520,5.5983
2025-Q4,Ford,F-150 Lightning,SK_ON,Pouch,NCM9,131.0,88649,11.613
2025-Q4,Hyundai,IONIQ 5,SK_ON,Pouch,NCM811,77.4,88773,6.871
2025-Q4,Hyundai,IONIQ 5 (LGES),LGES,Pouch,NCM811,77.4,41436,3.2071
2025-Q4,Hyundai,IONIQ 6,LGES,Pouch,NCM811,77.4,132874,10.2844
2025-Q4,Kia,EV6,SK_ON,Pouch,NCM811,77.4,132397,10.2475
2025-Q4,Kia,EV9,SK_ON,Pouch,NCM811,99.8,139856,13.9576
2026-Q1,Tesla,Model Y (Standard Range),CATL,Prismatic,LFP,60.0,205868,12.3521
2026-Q1,Tesla,Model Y (Long Range / Performance),LGES,Pouch,NCMA,78.0,293907,22.9247
2026-Q1,Tesla,Model Y (US Cylindrical),PANASONIC,Cylindrical,NCM2170,82.0,131298,10.7664
2026-Q1,Tesla,Model 3 (Standard),CATL,Prismatic,LFP,60.0,242639,14.5583
2026-Q1,Tesla,Model 3 (Long Range),PANASONIC,Cylindrical,NCM2170,82.0,270091,22.1475
2026-Q1,Tesla,Model 3 (Long Range EU),LGES,Cylindrical,NCMA,78.0,132672,10.3484
2026-Q1,General Motors,Chevrolet Bolt EV,LGES,Pouch,NCM622,65.0,86360,5.6134
2026-Q1,General Motors,Chevrolet Blazer EV,LGES,Pouch,NCMA,102.0,79418,8.1006
2026-Q1,General Motors,Cadillac Lyriq,LGES,Pouch,NCMA,102.0,87950,8.9709
2026-Q1,Ford,Mustang Mach-E (LFP),CATL,Prismatic,LFP,70.0,25200,1.764
2026-Q1,Ford,Mustang Mach-E (NCM),LGES,Pouch,NCM811,91.0,46201,4.2043
2026-Q1,Ford,F-150 Lightning,SK_ON,Pouch,NCM9,131.0,73659,9.6493
2026-Q1,Hyundai,IONIQ 5,SK_ON,Pouch,NCM811,77.4,78383,6.0668
2026-Q1,Hyundai,IONIQ 5 (LGES),LGES,Pouch,NCM811,77.4,30043,2.3253
2026-Q1,Hyundai,IONIQ 6,LGES,Pouch,NCM811,77.4,97718,7.5634
2026-Q1,Kia,EV6,SK_ON,Pouch,NCM811,77.4,109419,8.469
2026-Q1,Kia,EV9,SK_ON,Pouch,NCM811,99.8,105479,10.5268
2026-Q2,Tesla,Model Y (Standard Range),CATL,Prismatic,LFP,60.0,194002,11.6401
2026-Q2,Tesla,Model Y (Long Range / Performance),LGES,Pouch,NCMA,78.0,308869,24.0918
2026-Q2,Tesla,Model Y (US Cylindrical),PANASONIC,Cylindrical,NCM2170,82.0,125106,10.2587
2026-Q2,Tesla,Model 3 (Standard),CATL,Prismatic,LFP,60.0,281247,16.8748
2026-Q2,Tesla,Model 3 (Long Range),PANASONIC,Cylindrical,NCM2170,82.0,273581,22.4336
2026-Q2,Tesla,Model 3 (Long Range EU),LGES,Cylindrical,NCMA,78.0,127568,9.9503
2026-Q2,General Motors,Chevrolet Bolt EV,LGES,Pouch,NCM622,65.0,82827,5.3838
2026-Q2,General Motors,Chevrolet Blazer EV,LGES,Pouch,NCMA,102.0,97690,9.9644
2026-Q2,General Motors,Cadillac Lyriq,LGES,Pouch,NCMA,102.0,90978,9.2798
2026-Q2,Ford,Mustang Mach-E (LFP),CATL,Prismatic,LFP,70.0,27271,1.909
2026-Q2,Ford,Mustang Mach-E (NCM),LGES,Pouch,NCM811,91.0,49220,4.479
2026-Q2,Ford,F-150 Lightning,SK_ON,Pouch,NCM9,131.0,73120,9.5787
2026-Q2,Hyundai,IONIQ 5,SK_ON,Pouch,NCM811,77.4,77105,5.9679
2026-Q2,Hyundai,IONIQ 5 (LGES),LGES,Pouch,NCM811,77.4,29635,2.2937
2026-Q2,Hyundai,IONIQ 6,LGES,Pouch,NCM811,77.4,109931,8.5087
2026-Q2,Kia,EV6,SK_ON,Pouch,NCM811,77.4,101261,7.8376
2026-Q2,Kia,EV9,SK_ON,Pouch,NCM811,99.8,117861,11.7625
